Time, radar measured  rho, radar measured phi, radar measured rho_dot 
5633333,6.50413,-2.42528,0.986158
5633333,22.0443,0.209468,9.61484
5666666,19.5333,0.0373379,3.31786
5666666,6.23119,-2.42461,0.767861
5666666,22.0591,0.21081,9.41127
5700000,19.3722,-0.0626434,2.96875
5700000,5.98506,-2.52755,0.409123
5700000,22.1011,0.108284,9.06757
5733333,19.6347,0.0310719,3.0058
5733333,6.16227,-2.43644,0.436016
5733333,22.567,0.199542,9.10976
5766666,19.8685,0.0167951,2.82363
5766666,6.31047,-2.45298,0.243233
5766666,23.0043,0.18289,8.93249
5800000,19.7674,-0.0168686,3.09295
5800000,6.12329,-2.48858,0.501548
5800000,23.1069,0.146929,9.20648
5833333,20.5735,0.0194833,3.38369
5833333,6.8431,-2.45383,0.780968
5833333,24.1169,0.18106,9.50167
5866666,20.3418,0.0141145,2.45575
5866666,6.52465,-2.46047,-0.158558
5866666,24.0892,0.173541,8.57798
5900000,20.4734,0.0186968,2.521
5900000,6.56906,-2.45685,-0.105096
5900000,24.4249,0.176041,8.64728
5933333,20.5474,0.0479775,2.57663
5933333,6.55554,-2.4282,-0.0613784
5933333,24.7031,0.203305,8.7068
5966666,20.0809,0.0324179,2.74605
5966666,6.00112,-2.44408,0.0960413
5966666,24.441,0.185792,8.87992
6000000,20.4927,-0.0204776,2.46177
6000000,6.32456,-2.49697,-0.200265
6000000,25.0573,0.131002,8.59918
6033333,20.6228,-0.0170024,2.52842
6033333,6.36589,-2.49318,-0.145586
6033333,25.392,0.13264,8.66924
6066666,20.3508,0.0184889,2.49785
6066666,6.00477,-2.45705,-0.18804
6066666,25.3247,0.166349,8.64192
6100000,20.2681,-0.0190019,2.38773
6100000,5.83259,-2.49359,-0.309881
6100000,25.4469,0.127128,8.53493
6133333,20.7053,-0.00816525,2.03886
6133333,6.17981,-2.48148,-0.670258
6133333,26.089,0.136285,8.18905
6166666,21.0073,0.00469952,1.98389
6166666,6.39158,-2.46701,-0.736459
6166666,26.5961,0.147519,8.13695
6200000,21.2385,0.0416999,2.47069
6200000,6.53206,-2.42807,-0.260538
6200000,27.0324,0.182935,8.62652
6233333,20.7878,-0.0585294,2.22111
6233333,5.99035,-2.52604,-0.520594
6233333,26.7869,0.081166,8.37959
6266666,21.3814,0.050745,2.10752
6266666,6.49257,-2.41416,-0.644176
6266666,27.5858,0.188944,8.26855
6300000,20.8859,0.00526015,2.39649
6300000,5.90538,-2.45669,-0.364647
6300000,27.2957,0.142003,8.55998
6333333,21.7486,-0.0616937,2.65234
6333333,6.67606,-2.52034,-0.117624
6333333,28.3639,0.0736337,8.81819
6366666,21.6481,0.012103,1.67612
6366666,6.48336,-2.44287,-1.10196
6366666,28.4691,0.146053,7.84425
6400000,20.7265,-0.0279589,1.67491
6400000,5.46911,-2.4789,-1.11051
6400000,27.753,0.104651,7.84523
6433333,21.0187,0.0173282,1.91773
6433333,5.66855,-2.42919,-0.874154
6433333,28.2509,0.148633,8.09017
6466666,21.6028,-0.00428175,1.86585
6466666,6.15971,-2.44599,-0.931534
6466666,29.0408,0.125752,8.04033
6500000,21.9017,0.0416841,1.05378
