Time, lidar measured x, lidar measured y 
1066666,-4.47351,3.87511
1066666,18.3415,-4.12489
1066666,-10.6452,0.0736625
1100000,-4.2006,4.02315
1100000,18.2377,-3.97685
1100000,-10.4789,0.248589
1133333,-4.29185,3.98655
1133333,17.7693,-4.01345
1133333,-10.6748,0.239876
1166666,-3.76366,3.89142
1166666,17.9197,-4.10858
1166666,-10.2492,0.173626
1200000,-3.65807,3.96572
1200000,17.6469,-4.03428
1200000,-10.2441,0.277802
1233333,-3.6592,4.00772
1233333,17.2669,-3.99228
1233333,-10.3438,0.350672
1266666,-3.34844,3.95328
1266666,17.1982,-4.04672
1266666,-10.1295,0.328102
1300000,-3.13128,3.96831
1300000,17.0354,-4.03169
1300000,-10.0067,0.375998
1333333,-2.8241,4.10566
1333333,16.962,-3.89434
1333333,-9.79194,0.547201
1366666,-2.54341,3.99933
1366666,16.8616,-4.00067
1366666,-9.6016,0.47573
1400000,-2.44696,3.818
1400000,16.5764,-4.182
1400000,-9.59347,0.330244
1433333,-2.41583,4.05842
1433333,16.2253,-3.94158
1433333,-9.64861,0.607517
1466666,-2.45755,3.77952
1466666,15.8008,-4.22048
1466666,-9.77458,0.366456
1500000,-1.97485,3.87763
1500000,15.9001,-4.12237
1500000,-9.37408,0.503406
1533333,-1.89487,4.23063
1533333,15.5962,-3.76937
1533333,-9.37426,0.896242
1566666,-1.4058,3.93707
1566666,15.7009,-4.06293
1566666,-8.96332,0.643508
1600000,-1.40477,4.14569
1600000,15.3169,-3.85431
1600000,-9.03837,0.893957
1633333,-1.37454,4.13891
1633333,14.9616,-3.86109
1633333,-9.0822,0.929997
1666666,-0.851738,3.89909
1666666,15.0983,-4.10091
1666666,-8.63141,0.733988
1700000,-1.22905,4.18495
1700000,14.3343,-3.81505
1700000,-9.0787,1.06466
1733333,-0.732901,3.89454
1733333,14.4432,-4.10546
1733333,-8.65049,0.820065
1766666,-0.639889,3.91529
1766666,14.1484,-4.08471
1766666,-8.62338,0.887619
1800000,-0.259396,3.89041
1800000,14.1406,-4.10959
1800000,-8.30675,0.910536
1833333,-0.448047,3.86415
1833333,13.5631,-4.13585
1833333,-8.55722,0.93308
1866666,-0.0382226,3.84279
1866666,13.5834,-4.15721
1866666,-8.20719,0.961509
1900000,-0.140513,4.15401
1900000,13.0911,-3.84599
1900000,-8.36723,1.32352
1933333,0.254141,4.28792
1933333,13.0952,-3.71208
1933333,-8.02829,1.50922
1966666,0.853664,3.85021
1966666,13.3037,-4.14979
1966666,-7.48244,1.12428
2000000,0.948109,4.01662
2000000,13.0064,-3.98338
2000000,-7.43963,1.34447
2033333,1.19544,4.06877
2033333,12.8615,-3.93123
2033333,-7.2419,1.45139
2066666,1.14784,4.1182
2066666,12.4212,-3.8818
2066666,-7.33706,1.55658
2100000,1.24493,3.96838
2100000,12.1249,-4.03162
2100000,-7.2855,1.46353
2133333,1.47826,3.87238
2133333,11.9644,-4.12762
2133333,-7.09565,1.42529
2166666,1.39018,4.02792
2166666,11.4818,-3.97208
2166666,-7.22519,1.63959
2200000,2.03795,4.10781
2200000,11.7346,-3.89219
2200000,-6.61683,1.77923
2233333,2.24395,4.12628
2233333,11.5456,-3.86992
2233333,-6.44761,1.86225
2266666,1.81782,4.18835
2266666,10.7247,-3.80025
2266666,-6.90782,1.99366
2300000,2.38812,3.97753
2300000,10.9003,-3.99967
2300000,-6.36882,1.85698
2333333,2.98794,3.62528
2333333,11.1057,-4.33672
2333333,-5.79745,1.58366
2366666,2.73084,4.23528
2366666,10.4545,-3.70773
2366666,-6.08006,2.27738
2400000,3.05667,3.67379
2400000,10.3867,-4.24646
2400000,-5.77676,1.80437
2433333,2.92045,3.77474
2433333,9.85729,-4.11898
2433333,-5.93242,1.99858
2466666,3.55431,3.9614
2466666,10.0985,-3.90202
2466666,-5.31486,2.28325
2500000,3.6913,3.75454
2500000,9.8435,-4.07483
2500000,-5.19095,2.17916
2533333,3.9544,3.81685
2533333,9.71529,-3.97474
2533333,-4.93764,2.34895
2566666,4.17302,3.8808
2566666,9.54338,-3.86928
2566666,-4.72544,2.52512
2600000,4.44928,3.49659
2600000,9.42996,-4.20827
2600000,-4.45215,2.25783
2633333,4.92036,3.52861
2633333,9.51227,-4.12736
2633333,-3.98054,2.41144
2666666,4.71954,3.56825
2666666,8.92367,-4.03514
2666666,-4.17725,2.57736
2700000,4.8336,3.36677
2700000,8.65101,-4.18039
2700000,-4.05543,2.5068
2733333,4.97958,3.68676
2733333,8.41141,-3.80054
2733333,-3.89795,2.96233
2766666,5.34783,3.57759
2766666,8.39528,-3.84624
2766666,-3.51441,2.9933
2800000,5.40374,3.19062
2800000,8.06807,-4.16617
2800000,-3.43936,2.75106
2833333,5.73884,3.26877
2833333,8.0214,-4.01741
2833333,-3.08117,2.97849
2866666,5.65596,3.55021
2866666,7.55817,-3.66184
2866666,-3.13695,3.41373
2900000,5.76171,3.18381
2900000,7.28504,-3.95059
2900000,-3.00003,3.20564
2933333,5.82627,2.96213
2933333,6.97226,-4.09116
2933333,-2.90017,3.14673
2966666,6.08102,3.06284
2966666,6.85131,-3.9059
2966666,-2.6059,3.41465
3000000,6.08236,2.98174
3000000,6.47861,-3.89903
3000000,-2.56077,3.50517
3033333,6.45617,2.79908
3033333,6.48014,-3.99035
3033333,-2.13883,3.4985
3066666,6.88654,2.44257
3066666,6.54003,-4.25217
3066666,-1.65592,3.32232
3100000,6.92922,2.59753
3100000,6.21413,-3.99922
3100000,-1.55623,3.6619
3133333,7.21073,2.57397
3133333,6.12899,-3.92153
3133333,-1.21317,3.82723
3166666,7.42156,2.31111
3166666,5.97517,-4.07989
3166666,-0.9362,3.7575
3200000,7.47603,2.10533
3200000,5.66707,-4.178
3200000,-0.810918,3.74902
3233333,7.52725,2.05604
3233333,5.35785,-4.11645
3233333,-0.677403,3.87039
3266666,7.55888,1.95666
3266666,5.03122,-4.1019
3266666,-0.555731,3.91405
3300000,7.84343,1.98987
3300000,4.95978,-3.95169
3300000,-0.177182,4.06217
3333333,7.98424,1.98624
3333333,4.74234,-3.84139
