Time, estimated x, estimated y, estimated v, estimated yaw 
2266666,-6.44171,1.78464,4.84028,0.369661
2300000,2.41315,3.97995,5.51914,-0.00349225
2300000,10.9565,-3.94976,-6.09899,-0.0184866
2300000,-6.28251,1.81773,4.91327,0.341737
2333333,2.61884,3.95335,5.58317,-0.0188784
2333333,10.7719,-3.98423,-6.03996,0.00143204
2333333,-6.1133,1.82562,4.88341,0.308973
2366666,2.78952,3.96205,5.49962,-0.0177012
2366666,10.57,-3.94411,-6.03513,-0.0192876
2366666,-5.94807,1.91686,5.00886,0.322972
2400000,2.97261,3.94282,5.52492,-0.0223572
2400000,10.3685,-3.97626,-5.97285,0.00285879
2400000,-5.79489,1.93509,4.91948,0.303477
2433333,3.14836,3.91685,5.48961,-0.0339029
2433333,10.1415,-4.01351,-6.02641,0.0248442
2433333,-5.64577,1.99206,4.93759,0.302785
2466666,3.37728,3.87912,5.644,-0.0553848
2466666,9.94905,-4.02664,-5.94495,0.0344586
2466666,-5.45356,2.11862,5.08587,0.343267
2500000,3.60389,3.84272,5.76961,-0.0750961
2500000,9.76173,-4.06411,-5.88243,0.0556736
2500000,-5.28261,2.21584,5.14694,0.365921
2533333,3.79191,3.80932,5.67028,-0.100094
2533333,9.57194,-4.03733,-5.94095,0.0337078
2533333,-5.09597,2.26509,5.26773,0.341988
2566666,3.981,3.77694,5.60882,-0.121475
2566666,9.3826,-4.00432,-5.95602,0.0119073
2566666,-4.89835,2.33704,5.40866,0.334447
2600000,4.19368,3.72744,5.69008,-0.145463
2600000,9.20258,-4.02745,-5.89523,0.0243683
2600000,-4.71506,2.39386,5.41701,0.331478
2633333,4.44145,3.65769,5.87848,-0.180472
2633333,9.03941,-4.04953,-5.78968,0.0358673
2633333,-4.49791,2.49664,5.54979,0.353038
2666666,4.60479,3.60441,5.66607,-0.214605
2666666,8.83634,-4.01228,-5.94968,0.00458433
2666666,-4.30467,2.51541,5.62401,0.306009
2700000,4.79796,3.53821,5.68838,-0.242009
2700000,8.63228,-4.04032,-5.97102,0.0186402
2700000,-4.1157,2.58429,5.65975,0.307919
2733333,4.96264,3.50814,5.5629,-0.254069
2733333,8.43719,-3.99803,-5.99967,-0.00855683
2733333,-3.9234,2.66006,5.75595,0.303986
2766666,5.15996,3.47598,5.66913,-0.252695
2766666,8.26725,-3.97837,-5.80644,-0.01323
2766666,-3.72123,2.77233,5.82008,0.339424
2800000,5.36821,3.41223,5.79503,-0.268108
2800000,8.08289,-4.01716,-5.72172,0.0122862
2800000,-3.53923,2.86311,5.81684,0.361505
2833333,5.55922,3.34356,5.77121,-0.294936
2833333,7.89929,-4.00465,-5.74083,0.00208233
2833333,-3.33609,2.93211,5.88492,0.354484
2866666,5.72409,3.30856,5.64379,-0.304109
2866666,7.70515,-3.96367,-5.77992,-0.0225091
2866666,-3.14162,3.02584,5.97937,0.355102
2900000,5.89978,3.21865,5.63687,-0.336676
2900000,7.48009,-3.98572,-5.86961,-0.00910291
2900000,-2.9294,3.11887,6.09103,0.358302
2933333,6.0624,3.10794,5.59366,-0.380974
2933333,7.2368,-4.01856,-6.03421,0.00691425
2933333,-2.722,3.1903,6.15269,0.347178
2966666,6.22495,3.02033,5.57013,-0.40811
2966666,7.01238,-4.02351,-6.09177,0.00947678
2966666,-2.5064,3.28008,6.25051,0.348215
3000000,6.35851,2.954,5.41846,-0.428839
3000000,6.78771,-3.99876,-6.18256,-0.00822124
3000000,-2.32816,3.34182,6.2011,0.335018
3033333,6.54165,2.86454,5.567,-0.441342
3033333,6.57919,-4.03291,-6.08769,0.0194389
3033333,-2.106,3.45879,6.33863,0.364623
3066666,6.72466,2.72852,5.62689,-0.490709
3066666,6.37795,-4.04822,-6.13479,0.0215164
3066666,-1.87584,3.52518,6.41339,0.35275
3100000,6.89866,2.65147,5.68547,-0.495755
3100000,6.19486,-4.04268,-6.01804,0.0223172
3100000,-1.66462,3.62566,6.4903,0.372965
3133333,7.07694,2.548,5.70698,-0.521711
3133333,6.00776,-4.03105,-6.00016,0.0125662
3133333,-1.42478,3.72412,6.6331,0.374082
3166666,7.25582,2.44566,5.76325,-0.539987
3166666,5.83294,-4.02298,-5.91598,0.00836798
3166666,-1.19896,3.81625,6.71978,0.382876
3200000,7.43072,2.31804,5.83866,-0.568642
3200000,5.63712,-4.04044,-5.90719,0.0179573
3200000,-0.974116,3.87996,6.72102,0.366409
3233333,7.60305,2.20331,5.8998,-0.586473
3233333,5.44274,-4.05906,-5.88134,0.0293501
3233333,-0.762881,3.93358,6.64613,0.339534
3266666,7.74695,2.06507,5.909,-0.619058
