Time, ground truth x, ground truth y, ground truth v, ground truth yaw 
1866666,-8.05837,1.16951,4.33333,0.366667
1900000,0.358896,4,5.73334,0
1900000,13.2,-4,-6,0
1900000,-7.92353,1.22129,4.41667,0.366667
1933333,0.550008,4,5.75001,0
1933333,13,-4,-6,0
1933333,-7.7861,1.27407,4.5,0.366667
1966666,0.741675,4,5.76668,0
1966666,12.8,-4,-6,0
1966666,-7.64607,1.32785,4.58333,0.366667
2000000,0.933897,4,5.78334,0
2000000,12.6,-4,-6,0
2000000,-7.50344,1.38262,4.66667,0.366667
2033333,1.12668,4,5.80001,0
2033333,12.4,-4,-6,0
2033333,-7.35823,1.43839,4.75,0.366667
2066666,1.32001,4,5.81668,0
2066666,12.2,-4,-6,0
2066666,-7.21042,1.49515,4.83333,0.366667
2100000,1.5139,4,5.83334,0
2100000,12,-4,-6,0
2100000,-7.06002,1.55291,4.91667,0.366667
2133333,1.70834,4,5.85001,0
2133333,11.8,-4,-6,0
2133333,-6.90702,1.61167,5,0.366667
2166666,1.90334,4,5.85001,-0.0195
2166666,11.6,-4,-6,0
2166666,-6.75144,1.67142,5.08333,0.366667
2200000,2.09831,3.9962,5.85001,-0.0390001
2200000,11.4,-4,-6,0
2200000,-6.59325,1.73216,5.16667,0.366667
2233333,2.29316,3.98859,5.85001,-0.0585001
2233333,11.2,-4,-6,0
2233333,-6.43248,1.79391,5.25,0.366667
2266666,2.48783,3.97719,5.85001,-0.0780002
2266666,11,-4,-6,0
2266666,-6.26911,1.85664,5.33333,0.366667
2300000,2.68223,3.962,5.85001,-0.0975002
2300000,10.8,-4,-6,0
2300000,-6.10315,1.92038,5.41667,0.366667
2333333,2.87631,3.94302,5.85001,-0.117
2333333,10.6,-4,-6,0
2333333,-5.9346,1.98511,5.5,0.366667
2366666,3.06997,3.92025,5.85001,-0.1365
2366666,10.4,-4,-6,0
2366666,-5.76345,2.05084,5.58333,0.366667
2400000,3.26316,3.89372,5.85001,-0.156
2400000,10.2,-4,-6,0
2400000,-5.58971,2.11756,5.66667,0.366667
2433333,3.45579,3.86342,5.85001,-0.1755
2433333,10,-4,-6,0
2433333,-5.41338,2.18528,5.75,0.366667
2466666,3.6478,3.82937,5.85001,-0.195
2466666,9.8,-4,-6,0
2466666,-5.23445,2.25399,5.83334,0.366667
2500000,3.8391,3.79159,5.85001,-0.2145
2500000,9.6,-4,-6,0
2500000,-5.05293,2.3237,5.91667,0.366667
2533333,4.02964,3.75008,5.85001,-0.234001
2533333,9.4,-4,-6,0
2533333,-4.86882,2.3944,6,0.366667
2566666,4.21932,3.70487,5.85001,-0.253501
2566666,9.2,-4,-6,0
2566666,-4.68212,2.4661,6.08334,0.366667
2600000,4.40809,3.65596,5.85001,-0.273001
2600000,9,-4,-6,0
2600000,-4.49282,2.5388,6.16667,0.366667
2633333,4.59587,3.60339,5.85001,-0.292501
2633333,8.8,-4,-6,0
2633333,-4.30092,2.61249,6.25,0.366667
2666666,4.78259,3.54716,5.85001,-0.312001
2666666,8.6,-4,-6,0
2666666,-4.10644,2.68718,6.33334,0.366667
2700000,4.96817,3.4873,5.85001,-0.331501
2700000,8.4,-4,-6,0
2700000,-3.90936,2.76287,6.41667,0.366667
2733333,5.15256,3.42383,5.85001,-0.351001
2733333,8.2,-4,-6,0
2733333,-3.70969,2.83955,6.5,0.366667
2766666,5.33567,3.35679,5.85001,-0.370501
2766666,8,-4,-6,0
2766666,-3.50743,2.91722,6.58334,0.366667
2800000,5.51744,3.28618,5.85001,-0.390001
2800000,7.8,-4,-6,0
2800000,-3.30257,2.9959,6.66667,0.366667
2833333,5.69779,3.21204,5.85001,-0.409501
2833333,7.6,-4,-6,0
2833333,-3.09512,3.07556,6.75,0.366667
2866666,5.87667,3.1344,5.85001,-0.429001
2866666,7.4,-4,-6,0
2866666,-2.88507,3.15623,6.83334,0.366667
2900000,6.054,3.05329,5.85001,-0.448501
2900000,7.2,-4,-6,0
2900000,-2.67244,3.23789,6.91667,0.366667
2933333,6.22972,2.96874,5.85001,-0.468001
2933333,7,-4,-6,0
2933333,-2.45721,3.32054,7,0.366667
2966666,6.40375,2.88077,5.85001,-0.487501
2966666,6.8,-4,-6,0
2966666,-2.23938,3.4042,7.08334,0.366667
3000000,6.57603,2.78943,5.85001,-0.507001
