Time, Lidar NIS, Radar NIS 
1300000,0.0291143,6.54572
1300000,0.743308,8.12547
1333333,2.08172,5.00091
1333333,1.59604,5.02526
1333333,3.51896,9.33883
1366666,3.38949,1.50459
1366666,2.3309,1.22284
1366666,4.57721,1.73213
1400000,3.51165,1.18107
1400000,2.0268,1.1484
1400000,2.71366,2.76686
1433333,0.12472,2.61463
1433333,0.290034,2.68764
1433333,1.16506,5.84962
1466666,4.0498,1.4875
1466666,3.96642,1.60482
1466666,1.80442,1.37814
1500000,1.37898,6.85162
1500000,0.318634,7.8348
1500000,1.05141,13.3737
1533333,2.73114,7.39953
1533333,3.23709,7.55799
1533333,5.0779,5.28328
1566666,4.40157,1.93889
1566666,3.20727,1.97706
1566666,4.79529,4.53116
1600000,1.20468,4.35873
1600000,1.30186,3.87355
1600000,2.41253,4.17508
1633333,0.862243,1.24108
1633333,0.873566,1.37535
1633333,1.55753,4.99782
1666666,4.00247,2.76625
1666666,3.58103,2.23967
1666666,4.03269,5.07015
1700000,4.86911,1.07231
1700000,5.29,1.01221
1700000,5.4101,3.6294
1733333,0.580258,2.76528
1733333,1.05819,2.36323
1733333,0.204595,3.48303
1766666,0.311749,0.485301
1766666,0.748886,0.398942
1766666,0.114025,0.658809
1800000,1.47065,3.02871
1800000,1.08697,3.82318
1800000,1.08079,4.45469
1833333,2.23439,1.02582
1833333,3.5079,1.45512
1833333,2.3157,1.24533
1866666,0.718343,2.34498
1866666,0.716298,5.37255
1866666,0.0152482,8.50201
1900000,3.85641,6.88647
1900000,4.79463,3.83887
1900000,8.02157,8.84587
1933333,4.99164,4.13524
1933333,3.55093,5.16927
1933333,6.51921,1.94632
1966666,7.2521,3.34876
1966666,6.26175,2.97651
1966666,4.74,1.16728
2000000,3.13874,5.28575
2000000,1.80266,4.81241
2000000,2.70326,5.46457
2033333,3.7308,0.917753
2033333,2.74865,1.23254
2033333,3.68722,2.223
2066666,0.885308,0.800896
2066666,0.224056,1.27852
2066666,1.10433,2.75826
2100000,0.307872,2.1867
2100000,0.58759,2.95102
2100000,0.355693,3.29139
2133333,0.526412,0.897398
2133333,0.861168,0.784594
2133333,0.568342,2.73797
2166666,4.49918,2.89108
2166666,4.09922,2.96027
2166666,4.68178,7.3596
2200000,1.96017,0.536177
2200000,1.74753,0.256418
2200000,1.68743,2.15874
2233333,2.33941,0.261676
2233333,1.67094,0.129998
2233333,1.93313,1.08031
2266666,10.6673,1.09333
2266666,9.88484,2.03381
2266666,12.3111,1.08328
2300000,0.086581,3.75977
2300000,0.259205,1.29307
2300000,0.258807,5.94588
2333333,11.1972,1.66198
2333333,11.2719,2.9457
2333333,7.94968,1.40217
2366666,3.54135,1.74887
2366666,3.53593,0.119347
2366666,6.99683,1.7791
2400000,3.57594,5.00731
2400000,3.55559,8.72684
2400000,1.07483,5.41201
2433333,3.45629,1.60386
2433333,4.64968,0.386224
2433333,3.60601,2.04163
2466666,2.16895,11.397
2466666,1.48365,9.72687
2466666,3.47605,12.0412
2500000,1.15406,6.49066
2500000,0.427283,5.82041
2500000,0.440668,6.45008
2533333,1.03603,7.80647
2533333,1.25607,3.98108
2533333,1.59566,6.77751
2566666,1.90407,5.1735
2566666,2.25107,2.17757
2566666,3.26821,4.17518
2600000,5.7999,0.230512
2600000,4.18777,0.933016
2600000,3.98324,0.403593
2633333,12.903,2.11308
2633333,11.042,2.99597
2633333,13.256,4.46349
2666666,0.404795,20.2091
2666666,0.256469,15.3425
2666666,0.901165,14.0499
2700000,1.6091,0.322384
2700000,1.08135,0.107767
2700000,0.381886,1.34628
2733333,1.52805,4.08341
2733333,2.30833,2.0713
2733333,4.19285,2.19294
2766666,2.35648,5.77855
2766666,1.80956,8.85548
2766666,5.06938,7.69628
2800000,2.36005,5.02644
2800000,1.38831,6.38068
2800000,0.716825,7.67089
